Annee;Appareil;Commandes;Impressions;Clics;Cout;PM;CA;Reseaurechercher;Mois
2016;Ordinateurs;515;893200;17831;3825,67;0;515;43,64 %;septembre
2017;Ordinateurs;510;904324;14203;2813,08;0;510;41,89 %;juillet
2017;Ordinateurs;500;1115636;20140;3789,35;0;500;44,40 %;avril
2017;Ordinateurs;488;1050602;16944;3333,06;0;488;45,34 %;juin
2016;Ordinateurs;472;675211;15087;3252,65;0;472;36,37 %;aout
2017;Ordinateurs;459;1027513;19032;3896,81;0;459;42,80 %;mars
2017;Ordinateurs;455;1138380;18841;3644,41;0;455;44,79 %;mai
2016;Ordinateurs;427;613278;13969;3027;0;427;34,42 %;juillet
2016;Ordinateurs;423;619057;14250;3088,57;0;423;35,88 %;juin
2017;Téléphones mobiles;373;970374;21441;2515,69;0;373;14,80 %;juillet
2017;Téléphones mobiles;372;1361487;28479;3192,48;0;372;14,86 %;mai
2017;Téléphones mobiles;371;1213252;25980;2982,8;0;371;20,19 %;juin
2018;Ordinateurs;361,95;889230;11597;4322,35;0;25353;52,65 %;avril
2016;Ordinateurs;360;963838;16727;3631,24;0;360;51,52 %;octobre
2017;Téléphones mobiles;356;1142435;25939;2957,57;0;356;17,64 %;avril
2017;Ordinateurs;331,5;790085;10434;2118,81;0;374,85;43,64 %;aout
2017;Ordinateurs;324,6;801201;10364;2140,26;0;1195,85;44,43 %;septembre
2016;Ordinateurs;320;819563;13792;2955,14;0;320;50,31 %;novembre
2018;Ordinateurs;317,5;700660;9079;4040,74;0;21889,85;52,95 %;mai
2016;Ordinateurs;312;626548;14853;3261,08;0;312;37,35 %;mai
2018;Ordinateurs;307,75;848758;10198;3874,87;0;19269,38;57,66 %;juin
2017;Ordinateurs;299;734767;12230;2627,03;0;299;48,71 %;janvier
2018;Téléphones mobiles;285,2;1074742;17512;3379,29;0;18236,95;31,97 %;avril
2017;Téléphones mobiles;284;945545;21644;2720,82;0;284;20,97 %;mars
2018;Téléphones mobiles;273,98;940176;16228;3596,41;0;16414,91;30,40 %;mai
2018;Téléphones mobiles;273,96;1068381;17507;3336,55;0;19732,41;33,89 %;juin
2017;Téléphones mobiles;265,03;838737;15717;1885,45;0;266,15;15,27 %;aout
2017;Ordinateurs;265;658242;11834;2571,64;0;265;44,98 %;fevrier
2017;Ordinateurs;264,76;729247;9853;2150,58;0;2685,92;42,11 %;octobre
2016;Ordinateurs;259;518987;12936;2777,15;0;259;36,50 %;avril
2016;Ordinateurs;247;496243;12376;2615,35;0;247;41,48 %;mars
2016;Téléphones mobiles;241;557439;10681;1367,66;0;241;19,87 %;aout
2017;Téléphones mobiles;224,26;680318;13519;1675,47;0;305,87;12,79 %;septembre
2016;Téléphones mobiles;220;657948;12985;1611,59;0;220;23,01 %;septembre
2018;Ordinateurs;217,7;542582;5917;2024,47;0;13937,72;55,35 %;juillet
2018;Ordinateurs;217,2;693168;9107;1981,92;0;14006,17;46,26 %;avril
2017;Téléphones mobiles;216,52;647246;13984;1905,13;0;1709,07;12,58 %;octobre
2018;Téléphones mobiles;205,64;765404;10796;1912,72;0;12463,34;31,05 %;juillet
2018;Ordinateurs;201,03;664371;8264;2017,18;0;11553,08;49,37 %;mai
2016;Ordinateurs;200;458261;7558;1723,41;0;200;44,87 %;decembre
2018;Téléphones mobiles;195,48;1541862;17723;3133,57;0;12160,02;41,46 %;aout
2018;Ordinateurs;194,82;794040;7907;2379,81;0;10724,06;59,82 %;octobre
2018;Ordinateurs;190,24;837292;7619;2205,93;0;10483,04;60,04 %;aout
2018;Ordinateurs;185,42;703891;7463;2277,9;0;12432,92;63,76 %;septembre
